country_query,data
dominican republic,"{'name_common': 'Dominican Republic', 'name_official': 'Dominican Republic', 'population': 10847904, 'region': 'Americas', 'subregion': 'Caribbean'}"
morocco,"{'name_common': 'Morocco', 'name_official': 'Kingdom of Morocco', 'population': 36910558, 'region': 'Africa', 'subregion': 'Northern Africa'}"
chile,"{'name_common': 'Chile', 'name_official': 'Republic of Chile', 'population': 19116209, 'region': 'Americas', 'subregion': 'South America'}"
belarus,"{'name_common': 'Belarus', 'name_official': 'Republic of Belarus', 'population': 9398861, 'region': 'Europe', 'subregion': 'Eastern Europe'}"
romania,"{'name_common': 'Romania', 'name_official': 'Romania', 'population': 19286123, 'region': 'Europe', 'subregion': 'Southeast Europe'}"
paraguay,"{'name_common': 'Paraguay', 'name_official': 'Republic of Paraguay', 'population': 7132530, 'region': 'Americas', 'subregion': 'South America'}"
puerto rico,"{'name_common': 'Puerto Rico', 'name_official': 'Commonwealth of Puerto Rico', 'population': 3194034, 'region': 'Americas', 'subregion': 'Caribbean'}"
switzerland,"{'name_common': 'Switzerland', 'name_official': 'Swiss Confederation', 'population': 8654622, 'region': 'Europe', 'subregion': 'Western Europe'}"
latvia,"{'name_common': 'Latvia', 'name_official': 'Republic of Latvia', 'population': 1901548, 'region': 'Europe', 'subregion': 'Northern Europe'}"
yugoslavia,
azerbaijan,"{'name_common': 'Azerbaijan', 'name_official': 'Republic of Azerbaijan', 'population': 10110116, 'region': 'Asia', 'subregion': 'Western Asia'}"
cameroon,"{'name_common': 'Cameroon', 'name_official': 'Republic of Cameroon', 'population': 26545864, 'region': 'Africa', 'subregion': 'Middle Africa'}"
kenya,"{'name_common': 'Kenya', 'name_official': 'Republic of Kenya', 'population': 53771300, 'region': 'Africa', 'subregion': 'Eastern Africa'}"
greece,"{'name_common': 'Greece', 'name_official': 'Hellenic Republic', 'population': 10715549, 'region': 'Europe', 'subregion': 'Southern Europe'}"
french polynesia,"{'name_common': 'French Polynesia', 'name_official': 'French Polynesia', 'population': 280904, 'region': 'Oceania', 'subregion': 'Polynesia'}"
sudan,"{'name_common': 'Sudan', 'name_official': 'Republic of the Sudan', 'population': 43849269, 'region': 'Africa', 'subregion': 'Northern Africa'}"
cambodia,"{'name_common': 'Cambodia', 'name_official': 'Kingdom of Cambodia', 'population': 16718971, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
myanmar,"{'name_common': 'Myanmar', 'name_official': 'Republic of the Union of Myanmar', 'population': 54409794, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
kazakstan,
angola,"{'name_common': 'Angola', 'name_official': 'Republic of Angola', 'population': 32866268, 'region': 'Africa', 'subregion': 'Middle Africa'}"
"congo, the democratic republic of the","{'name_common': 'DR Congo', 'name_official': 'Democratic Republic of the Congo', 'population': 108407721, 'region': 'Africa', 'subregion': 'Middle Africa'}"
oman,"{'name_common': 'Romania', 'name_official': 'Romania', 'population': 19286123, 'region': 'Europe', 'subregion': 'Southeast Europe'}"
bulgaria,"{'name_common': 'Bulgaria', 'name_official': 'Republic of Bulgaria', 'population': 6927288, 'region': 'Europe', 'subregion': 'Southeast Europe'}"
bolivia,"{'name_common': 'Bolivia', 'name_official': 'Plurinational State of Bolivia', 'population': 11673029, 'region': 'Americas', 'subregion': 'South America'}"
runion,
anguilla,"{'name_common': 'Anguilla', 'name_official': 'Anguilla', 'population': 13452, 'region': 'Americas', 'subregion': 'Caribbean'}"
brunei,"{'name_common': 'Brunei', 'name_official': 'Nation of Brunei, Abode of Peace', 'population': 437483, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
moldova,"{'name_common': 'Moldova', 'name_official': 'Republic of Moldova', 'population': 2617820, 'region': 'Europe', 'subregion': 'Eastern Europe'}"
sweden,"{'name_common': 'Sweden', 'name_official': 'Kingdom of Sweden', 'population': 10353442, 'region': 'Europe', 'subregion': 'Northern Europe'}"
greenland,"{'name_common': 'Greenland', 'name_official': 'Greenland', 'population': 56367, 'region': 'Americas', 'subregion': 'North America'}"
holy see (vatican city state),"{'name_common': 'Vatican City', 'name_official': 'Vatican City State', 'population': 451, 'region': 'Europe', 'subregion': 'Southern Europe'}"
zambia,"{'name_common': 'Zambia', 'name_official': 'Republic of Zambia', 'population': 18383956, 'region': 'Africa', 'subregion': 'Eastern Africa'}"
"virgin islands, u.s.","{'name_common': 'United States Virgin Islands', 'name_official': 'Virgin Islands of the United States', 'population': 106290, 'region': 'Americas', 'subregion': 'Caribbean'}"
chad,"{'name_common': 'Chad', 'name_official': 'Republic of Chad', 'population': 16425859, 'region': 'Africa', 'subregion': 'Middle Africa'}"
north korea,"{'name_common': 'North Korea', 'name_official': ""Democratic People's Republic of Korea"", 'population': 25778815, 'region': 'Asia', 'subregion': 'Eastern Asia'}"
nauru,"{'name_common': 'Nauru', 'name_official': 'Republic of Nauru', 'population': 10834, 'region': 'Oceania', 'subregion': 'Micronesia'}"
estonia,"{'name_common': 'Estonia', 'name_official': 'Republic of Estonia', 'population': 1331057, 'region': 'Europe', 'subregion': 'Northern Europe'}"
gambia,"{'name_common': 'Gambia', 'name_official': 'Republic of the Gambia', 'population': 2416664, 'region': 'Africa', 'subregion': 'Western Africa'}"
sri lanka,"{'name_common': 'Sri Lanka', 'name_official': 'Democratic Socialist Republic of Sri Lanka', 'population': 21919000, 'region': 'Asia', 'subregion': 'Southern Asia'}"
hong kong,"{'name_common': 'Hong Kong', 'name_official': ""Hong Kong Special Administrative Region of the People's Republic of China"", 'population': 7500700, 'region': 'Asia', 'subregion': 'Eastern Asia'}"
czech republic,"{'name_common': 'Czechia', 'name_official': 'Czech Republic', 'population': 10698896, 'region': 'Europe', 'subregion': 'Central Europe'}"
hungary,"{'name_common': 'Hungary', 'name_official': 'Hungary', 'population': 9749763, 'region': 'Europe', 'subregion': 'Central Europe'}"
malawi,"{'name_common': 'Malawi', 'name_official': 'Republic of Malawi', 'population': 19129955, 'region': 'Africa', 'subregion': 'Eastern Africa'}"
faroe islands,"{'name_common': 'Faroe Islands', 'name_official': 'Faroe Islands', 'population': 48865, 'region': 'Europe', 'subregion': 'Northern Europe'}"
liechtenstein,"{'name_common': 'Liechtenstein', 'name_official': 'Principality of Liechtenstein', 'population': 38137, 'region': 'Europe', 'subregion': 'Western Europe'}"
iraq,"{'name_common': 'Iraq', 'name_official': 'Republic of Iraq', 'population': 40222503, 'region': 'Asia', 'subregion': 'Western Asia'}"
turkmenistan,"{'name_common': 'Turkmenistan', 'name_official': 'Turkmenistan', 'population': 6031187, 'region': 'Asia', 'subregion': 'Central Asia'}"
finland,"{'name_common': 'Finland', 'name_official': 'Republic of Finland', 'population': 5530719, 'region': 'Europe', 'subregion': 'Northern Europe'}"
tuvalu,"{'name_common': 'Tuvalu', 'name_official': 'Tuvalu', 'population': 11792, 'region': 'Oceania', 'subregion': 'Polynesia'}"
kuwait,"{'name_common': 'Kuwait', 'name_official': 'State of Kuwait', 'population': 4270563, 'region': 'Asia', 'subregion': 'Western Asia'}"
slovakia,"{'name_common': 'Slovakia', 'name_official': 'Slovak Republic', 'population': 5458827, 'region': 'Europe', 'subregion': 'Central Europe'}"
saint vincent and the grenadines,"{'name_common': 'Saint Vincent and the Grenadines', 'name_official': 'Saint Vincent and the Grenadines', 'population': 110947, 'region': 'Americas', 'subregion': 'Caribbean'}"
armenia,"{'name_common': 'Armenia', 'name_official': 'Republic of Armenia', 'population': 2963234, 'region': 'Asia', 'subregion': 'Western Asia'}"
senegal,"{'name_common': 'Senegal', 'name_official': 'Republic of Senegal', 'population': 16743930, 'region': 'Africa', 'subregion': 'Western Africa'}"
bahrain,"{'name_common': 'Bahrain', 'name_official': 'Kingdom of Bahrain', 'population': 1701583, 'region': 'Asia', 'subregion': 'Western Asia'}"
new zealand,"{'name_common': 'New Zealand', 'name_official': 'New Zealand', 'population': 5084300, 'region': 'Oceania', 'subregion': 'Australia and New Zealand'}"
lithuania,"{'name_common': 'Lithuania', 'name_official': 'Republic of Lithuania', 'population': 2794700, 'region': 'Europe', 'subregion': 'Northern Europe'}"
tunisia,"{'name_common': 'Tunisia', 'name_official': 'Tunisian Republic', 'population': 11818618, 'region': 'Africa', 'subregion': 'Northern Africa'}"
ethiopia,"{'name_common': 'Ethiopia', 'name_official': 'Federal Democratic Republic of Ethiopia', 'population': 114963583, 'region': 'Africa', 'subregion': 'Eastern Africa'}"
nepal,"{'name_common': 'Nepal', 'name_official': 'Federal Democratic Republic of Nepal', 'population': 29136808, 'region': 'Asia', 'subregion': 'Southern Asia'}"
french guiana,"{'name_common': 'French Guiana', 'name_official': 'Guiana', 'population': 254541, 'region': 'Americas', 'subregion': 'South America'}"
madagascar,"{'name_common': 'Madagascar', 'name_official': 'Republic of Madagascar', 'population': 27691019, 'region': 'Africa', 'subregion': 'Eastern Africa'}"
american samoa,"{'name_common': 'American Samoa', 'name_official': 'American Samoa', 'population': 55197, 'region': 'Oceania', 'subregion': 'Polynesia'}"
tonga,"{'name_common': 'Tonga', 'name_official': 'Kingdom of Tonga', 'population': 105697, 'region': 'Oceania', 'subregion': 'Polynesia'}"
afghanistan,"{'name_common': 'Afghanistan', 'name_official': 'Islamic Republic of Afghanistan', 'population': 40218234, 'region': 'Asia', 'subregion': 'Southern Asia'}"
