city_query,temperatura
mwanza,19.7
mwene-ditu,20.2
myingyan,31.7
mysore,23.5
naala-porto,26.1
nabereznyje telny,
nador,20.4
nagareyama,27.2
naju,31.7
nakhon sawan,32.0
nam dinh,30.3
namibe,21.0
nanyang,31.6
ndjamna,
newcastle,11.0
nezahualcyotl,
nha trang,30.3
novi sad,10.2
nuuk,6.0
nyeri,13.9
ocumare del tuy,27.3
ogbomosho,22.6
okara,34.6
okinawa,30.3
olomouc,7.8
omiya,26.1
ondo,22.8
onomichi,24.0
oshawa,8.0
osmaniye,13.4
ostka,
otsu,26.3
oulu,8.1
owo,23.1
paarl,14.2
pak kret,31.1
palghat (palakkad),25.3
papeete,30.3
patiala,34.3
patras,32.3
pavlodar,13.9
pemalang,26.1
peoria,32.4
pereira,17.4
phnom penh,31.1
pingxiang,29.1
pjatigorsk,6.3
ponce,26.0
pontianak,28.1
poos de caldas,14.3
portoviejo,24.0
pudukkottai,29.2
pune,26.0
purnea (purnia),30.7
pyongyang,22.1
qalyub,19.3
qinhuangdao,20.7
quilmes,12.4
rae bareli,32.6
rajkot,29.9
rampur,32.9
ranchi,27.2
rio claro,15.1
roanoke,17.8
robamba,
rockford,11.1
ruse,8.1
rustenburg,7.1
saarbrcken,
sagamihara,
saint louis,23.3
sal,27.1
salala,28.2
salamanca,9.1
salinas,18.9
salzburg,6.3
sambhal,33.8
sanaa,14.3
san bernardino,26.1
san felipe del progreso,18.3
san felipe de puerto plata,25.1
san juan bautista tuxtepec,18.3
santa f,14.3
santo andr,19.4
sanya,29.6
sasebo,25.3
sawhaj,24.6
shahr-e kord,9.4
shanwei,30.5
shaoguan,23.9
sharja,29.3
s-hertogenbosch,11.1
shikarpur,31.7
shimoga,23.8
shimonoseki,22.3
shivapuri,
shubra al-khayma,19.3
siliguri (shiliguri),26.0
simferopol,16.0
smolensk,5.7
so bernardo do campo,19.4
sogamoso,9.9
so leopoldo,30.1
sorocaba,17.8
soshanguve,14.9
sousse,14.2
southampton,8.3
south hill,12.2
southport,8.4
stara zagora,8.2
sterling heights,8.2
stockport,8.4
sucre,13.8
suihua,18.2
sullana,23.1
sultanbeyli,
sumqayit,18.3
sungai petani,30.1
sunnyvale,20.3
surakarta,25.7
syrakusa,
szkesfehrvr,
tabora,17.6
tabriz,16.1
tabuk,24.1
taguig,33.3
taizz,
tama,28.0
tandil,6.1
tanshui,31.2
tartu,16.7
teboksary,
tel aviv-jaffa,17.3
tiefa,19.3
tokat,6.9
tonghae,21.2
tongliao,15.6
torren,14.3
touliu,31.9
toulon,16.2
toulouse,14.2
trshavn,
tsuyama,25.4
tuguegarao,31.7
tychy,9.2
udaipur,34.4
ueda,29.1
uijongbu,21.2
urawa,27.6
uruapan,22.9
usak,8.8
uttarpara-kotrung,25.2
vaduz,13.1
valencia,22.0
valle de la pascua,24.6
valle de santiago,31.0
vancouver,13.3
varanasi (benares),22.0
vicente lpez,22.6
vijayawada,24.1
vila velha,20.0
vilnius,9.0
vinh,30.5
vitria de santo anto,26.7
warren,8.3
weifang,35.9
witten,10.0
wroclaw,11.3
xiangfan,30.9
xiangtan,29.9
xintai,32.4
xinxiang,36.3
yamuna nagar,30.7
yangor,27.9
yaound,22.3
yinchuan,30.2
yuncheng,35.0
yuzhou,34.6
zalantun,17.8
zanzibar,23.8
zaoyang,30.8
zaria,24.6
zeleznogorsk,
zhezqazghan,13.4
ziguinchor,24.3
novoterkassk,
tokyo,29.2
